"Index Name","Date","Open","High","Low","Close"
"NIFTY 50","03 Jan 2020","12261.10","12265.60","12191.35","12226.65"
"NIFTY 50","02 Jan 2020","12198.55","12289.90","12195.25","12282.20"
"NIFTY 50","01 Jan 2020","12202.15","12222.20","12165.30","12182.50"
"NIFTY 50","31 Dec 2019","12247.10","12247.10","12151.80","12168.45"
"NIFTY 50","30 Dec 2019","12274.90","12286.45","12213.80","12255.85"
"NIFTY 50","27 Dec 2019","12172.90","12258.45","12157.90","12245.80"
"NIFTY 50","26 Dec 2019","12211.85","12221.55","12118.85","12126.55"
"NIFTY 50","24 Dec 2019","12269.25","12283.70","12202.10","12214.55"
"NIFTY 50","23 Dec 2019","12235.45","12287.15","12213.25","12262.75"
"NIFTY 50","20 Dec 2019","12266.45","12293.90","12252.75","12271.80"
"NIFTY 50","19 Dec 2019","12223.40","12268.35","12191.15","12259.70"
"NIFTY 50","18 Dec 2019","12197.00","12237.70","12163.45","12221.65"
"NIFTY 50","17 Dec 2019","12082.45","12182.75","12070.35","12165.00"
"NIFTY 50","16 Dec 2019","12131.35","12134.65","12046.30","12053.95"
"NIFTY 50","13 Dec 2019","12026.40","12098.85","12023.60","12086.70"
"NIFTY 50","12 Dec 2019","11944.30","12005.50","11934.00","11971.80"
"NIFTY 50","11 Dec 2019","11867.35","11923.20","11832.30","11910.15"
"NIFTY 50","10 Dec 2019","11950.50","11953.20","11844.70","11856.80"
"NIFTY 50","09 Dec 2019","11939.10","11981.95","11888.05","11937.50"
"NIFTY 50","06 Dec 2019","12047.35","12057.05","11888.85","11921.50"
"NIFTY 50","05 Dec 2019","12071.25","12081.20","11998.75","12018.40"
"NIFTY 50","04 Dec 2019","11969.95","12054.70","11935.30","12043.20"
"NIFTY 50","03 Dec 2019","12067.65","12068.60","11956.40","11994.20"
"NIFTY 50","02 Dec 2019","12137.05","12137.15","12023.70","12048.20"
"NIFTY 50","29 Nov 2019","12146.20","12147.40","12017.40","12056.05"
"NIFTY 50","28 Nov 2019","12132.10","12158.80","12099.95","12151.15"
"NIFTY 50","27 Nov 2019","12068.50","12114.90","12055.15","12100.70"
"NIFTY 50","26 Nov 2019","12110.20","12132.45","12006.35","12037.70"
"NIFTY 50","25 Nov 2019","11922.45","12084.50","11919.75","12073.75"
"NIFTY 50","22 Nov 2019","11967.30","11968.10","11883.50","11914.40"
"NIFTY 50","21 Nov 2019","12025.65","12028.20","11956.90","11968.40"
"NIFTY 50","20 Nov 2019","12004.75","12038.60","11966.05","11999.10"
"NIFTY 50","19 Nov 2019","11919.45","11958.85","11881.75","11940.10"
"NIFTY 50","18 Nov 2019","11915.15","11946.20","11867.60","11884.50"
"NIFTY 50","15 Nov 2019","11904.20","11973.65","11879.25","11895.45"
"NIFTY 50","14 Nov 2019","11858.75","11895.65","11802.65","11872.10"
"NIFTY 50","13 Nov 2019","11908.30","11946.80","11823.20","11840.45"
"NIFTY 50","11 Nov 2019","11879.20","11932.65","11853.95","11913.45"
"NIFTY 50","08 Nov 2019","11987.15","12034.15","11888.75","11908.15"
"NIFTY 50","07 Nov 2019","12021.10","12021.40","11946.85","12012.05"
"NIFTY 50","06 Nov 2019","11911.50","12002.90","11850.25","11966.05"
"NIFTY 50","05 Nov 2019","11974.60","11978.95","11861.90","11917.20"
"NIFTY 50","04 Nov 2019","11928.90","11989.15","11905.35","11941.30"
"NIFTY 50","01 Nov 2019","11886.60","11918.30","11843.35","11890.60"
"NIFTY 50","31 Oct 2019","11890.45","11945.00","11855.10","11877.45"
"NIFTY 50","30 Oct 2019","11883.90","11883.95","11784.45","11844.10"
"NIFTY 50","29 Oct 2019","11643.95","11809.40","11627.35","11786.85"
"NIFTY 50","27 Oct 2019","11662.25","11672.40","11604.60","11627.15"
"NIFTY 50","25 Oct 2019","11646.15","11646.90","11490.75","11583.90"
"NIFTY 50","24 Oct 2019","11661.65","11679.60","11534.65","11582.60"
"NIFTY 50","23 Oct 2019","11596.20","11651.60","11554.40","11604.10"
"NIFTY 50","22 Oct 2019","11657.15","11714.35","11573.65","11588.35"
"NIFTY 50","18 Oct 2019","11580.30","11684.70","11553.15","11661.85"
"NIFTY 50","17 Oct 2019","11466.30","11599.10","11439.65","11586.35"
"NIFTY 50","16 Oct 2019","11464.95","11481.05","11411.10","11464.00"
"NIFTY 50","15 Oct 2019","11360.85","11462.35","11342.10","11428.30"
"NIFTY 50","14 Oct 2019","11335.90","11420.45","11290.05","11341.15"
"NIFTY 50","11 Oct 2019","11257.70","11362.90","11189.40","11305.05"
"NIFTY 50","10 Oct 2019","11280.50","11293.35","11208.55","11234.55"
"NIFTY 50","09 Oct 2019","11152.95","11321.60","11090.15","11313.30"
"NIFTY 50","07 Oct 2019","11196.20","11233.85","11112.65","11126.40"
"NIFTY 50","04 Oct 2019","11388.45","11400.30","11158.35","11174.75"
"NIFTY 50","03 Oct 2019","11322.25","11370.40","11257.35","11314.00"
"NIFTY 50","01 Oct 2019","11515.40","11554.20","11247.90","11359.90"
"NIFTY 50","30 Sep 2019","11491.15","11508.25","11390.80","11474.45"
"NIFTY 50","27 Sep 2019","11556.35","11593.60","11499.75","11512.40"
"NIFTY 50","26 Sep 2019","11469.85","11610.85","11466.35","11571.20"
"NIFTY 50","25 Sep 2019","11564.85","11564.95","11416.10","11440.20"
"NIFTY 50","24 Sep 2019","11590.70","11655.05","11539.20","11588.20"
"NIFTY 50","23 Sep 2019","11542.70","11694.85","11471.35","11600.20"
"NIFTY 50","20 Sep 2019","10746.80","11381.90","10691.00","11274.20"
"NIFTY 50","19 Sep 2019","10845.20","10845.20","10670.25","10704.80"
"NIFTY 50","18 Sep 2019","10872.80","10885.15","10804.85","10840.65"
"NIFTY 50","17 Sep 2019","11000.10","11000.10","10796.50","10817.60"
"NIFTY 50","16 Sep 2019","10994.85","11052.70","10968.20","11003.50"
"NIFTY 50","13 Sep 2019","10986.80","11084.45","10945.75","11075.90"
"NIFTY 50","12 Sep 2019","11058.30","11081.75","10964.95","10982.80"
"NIFTY 50","11 Sep 2019","11028.50","11054.80","11011.65","11035.70"
"NIFTY 50","09 Sep 2019","10936.70","11028.85","10889.80","11003.05"
"NIFTY 50","06 Sep 2019","10883.80","10957.05","10867.45","10946.20"
"NIFTY 50","05 Sep 2019","10860.95","10920.10","10816.00","10847.90"
"NIFTY 50","04 Sep 2019","10790.40","10858.75","10746.35","10844.65"
"NIFTY 50","03 Sep 2019","10960.95","10967.50","10772.70","10797.90"
"NIFTY 50","30 Aug 2019","10987.80","11042.60","10874.80","11023.25"
"NIFTY 50","29 Aug 2019","10996.05","11021.10","10922.40","10948.30"
"NIFTY 50","28 Aug 2019","11101.30","11129.65","10987.65","11046.10"
"NIFTY 50","27 Aug 2019","11106.55","11141.75","11049.50","11105.35"
"NIFTY 50","26 Aug 2019","11000.30","11070.30","10756.55","11057.85"
"NIFTY 50","23 Aug 2019","10699.60","10862.55","10637.15","10829.35"
"NIFTY 50","22 Aug 2019","10905.30","10908.25","10718.30","10741.35"
"NIFTY 50","21 Aug 2019","11018.15","11034.20","10906.65","10918.70"
"NIFTY 50","20 Aug 2019","11063.90","11076.30","10985.30","11017.00"
"NIFTY 50","19 Aug 2019","11094.80","11146.90","11037.85","11053.90"
"NIFTY 50","16 Aug 2019","11043.65","11068.65","10924.30","11047.80"
"NIFTY 50","14 Aug 2019","11003.25","11078.15","10935.60","11029.40"
"NIFTY 50","13 Aug 2019","11139.40","11145.90","10901.60","10925.85"
"NIFTY 50","09 Aug 2019","11087.90","11181.45","11062.80","11109.65"
"NIFTY 50","08 Aug 2019","10899.20","11058.05","10842.95","11032.45"
"NIFTY 50","07 Aug 2019","10958.10","10975.65","10835.90","10855.50"
"NIFTY 50","06 Aug 2019","10815.40","11018.55","10813.80","10948.25"
"NIFTY 50","05 Aug 2019","10895.80","10895.80","10782.60","10862.60"
"NIFTY 50","02 Aug 2019","10930.30","11080.15","10848.95","10997.35"
"NIFTY 50","01 Aug 2019","11060.20","11076.75","10881.00","10980.00"
"NIFTY 50","31 Jul 2019","11034.05","11145.30","10999.40","11118.00"
"NIFTY 50","30 Jul 2019","11213.70","11267.45","11072.65","11085.40"
"NIFTY 50","29 Jul 2019","11307.50","11310.95","11152.40","11189.20"
"NIFTY 50","26 Jul 2019","11247.45","11307.60","11210.05","11284.30"
"NIFTY 50","25 Jul 2019","11290.40","11361.40","11239.35","11252.15"
"NIFTY 50","24 Jul 2019","11322.45","11359.75","11229.80","11271.30"
"NIFTY 50","23 Jul 2019","11372.25","11398.15","11302.80","11331.05"
"NIFTY 50","22 Jul 2019","11392.85","11398.15","11301.25","11346.20"
"NIFTY 50","19 Jul 2019","11627.95","11640.35","11399.30","11419.25"
"NIFTY 50","18 Jul 2019","11675.60","11677.15","11582.40","11596.90"
"NIFTY 50","17 Jul 2019","11670.75","11706.65","11651.15","11687.50"
"NIFTY 50","16 Jul 2019","11596.65","11670.05","11573.95","11662.60"
"NIFTY 50","15 Jul 2019","11614.75","11618.40","11532.30","11588.35"
"NIFTY 50","12 Jul 2019","11601.15","11639.55","11538.60","11552.50"
"NIFTY 50","11 Jul 2019","11561.45","11599.00","11519.50","11582.90"
"NIFTY 50","10 Jul 2019","11536.15","11593.70","11475.65","11498.90"
"NIFTY 50","09 Jul 2019","11531.60","11582.55","11461.00","11555.90"
"NIFTY 50","08 Jul 2019","11770.40","11771.90","11523.30","11558.60"
"NIFTY 50","05 Jul 2019","11964.75","11981.75","11797.90","11811.15"
"NIFTY 50","04 Jul 2019","11928.80","11969.25","11923.65","11946.75"
"NIFTY 50","03 Jul 2019","11932.15","11945.20","11887.05","11916.75"
"NIFTY 50","02 Jul 2019","11890.30","11917.45","11814.70","11910.30"
"NIFTY 50","01 Jul 2019","11839.90","11884.65","11830.80","11865.60"
"NIFTY 50","28 Jun 2019","11861.15","11871.70","11775.50","11788.85"
"NIFTY 50","27 Jun 2019","11860.85","11911.15","11821.05","11841.55"
"NIFTY 50","26 Jun 2019","11768.15","11871.85","11757.55","11847.55"
"NIFTY 50","25 Jun 2019","11681.00","11814.40","11651.00","11796.45"
"NIFTY 50","24 Jun 2019","11725.80","11754.00","11670.20","11699.65"
"NIFTY 50","21 Jun 2019","11827.60","11827.95","11705.10","11724.10"
"NIFTY 50","20 Jun 2019","11653.65","11843.50","11635.05","11831.75"
"NIFTY 50","19 Jun 2019","11744.45","11802.50","11625.10","11691.45"
"NIFTY 50","18 Jun 2019","11677.05","11727.20","11641.15","11691.50"
"NIFTY 50","17 Jun 2019","11844.00","11844.05","11657.75","11672.15"
"NIFTY 50","14 Jun 2019","11910.10","11911.85","11797.70","11823.30"
"NIFTY 50","13 Jun 2019","11873.90","11931.35","11817.05","11914.05"
"NIFTY 50","12 Jun 2019","11962.45","11962.45","11866.35","11906.20"
"NIFTY 50","11 Jun 2019","11959.85","12000.35","11904.35","11965.60"
"NIFTY 50","10 Jun 2019","11934.90","11975.05","11871.75","11922.70"
"NIFTY 50","07 Jun 2019","11865.20","11897.50","11769.50","11870.65"
"NIFTY 50","06 Jun 2019","12039.80","12039.80","11830.25","11843.75"
"NIFTY 50","04 Jun 2019","12052.65","12095.20","12005.85","12021.65"
"NIFTY 50","03 Jun 2019","11953.75","12103.05","11920.10","12088.55"
"NIFTY 50","31 May 2019","11999.80","12039.25","11829.45","11922.80"
"NIFTY 50","30 May 2019","11865.30","11968.55","11859.40","11945.90"
"NIFTY 50","29 May 2019","11905.80","11931.90","11836.80","11861.10"
"NIFTY 50","28 May 2019","11958.35","11958.55","11864.90","11928.75"
"NIFTY 50","27 May 2019","11855.50","11957.15","11812.40","11924.75"
