"Index Name","Date","Open","High","Low","Close"
"NIFTY SMALLCAP 250","20 Oct 2022","9286.45","9335.80","9262.55","9327.00"
"NIFTY SMALLCAP 250","19 Oct 2022","9343.60","9367.40","9301.30","9316.40"
"NIFTY SMALLCAP 250","18 Oct 2022","9287.70","9323.75","9282.35","9313.65"
"NIFTY SMALLCAP 250","17 Oct 2022","9202.15","9254.85","9131.65","9239.25"
"NIFTY SMALLCAP 250","14 Oct 2022","9335.75","9361.25","9200.20","9215.70"
"NIFTY SMALLCAP 250","13 Oct 2022","9264.10","9286.20","9186.10","9212.05"
"NIFTY SMALLCAP 250","12 Oct 2022","9247.15","9279.95","9152.55","9261.45"
"NIFTY SMALLCAP 250","11 Oct 2022","9392.95","9415.80","9200.75","9221.15"
"NIFTY SMALLCAP 250","10 Oct 2022","9340.50","9394.05","9305.10","9365.75"
"NIFTY SMALLCAP 250","07 Oct 2022","9389.55","9424.15","9354.30","9417.40"
"NIFTY SMALLCAP 250","06 Oct 2022","9351.10","9417.15","9345.70","9387.20"
"NIFTY SMALLCAP 250","04 Oct 2022","9298.30","9319.60","9250.50","9285.30"
"NIFTY SMALLCAP 250","03 Oct 2022","9200.50","9245.40","9099.45","9163.95"
"NIFTY SMALLCAP 250","30 Sep 2022","9060.60","9208.30","8999.50","9198.75"
"NIFTY SMALLCAP 250","29 Sep 2022","9108.25","9153.55","9010.10","9060.15"
"NIFTY SMALLCAP 250","28 Sep 2022","8996.10","9093.50","8960.35","9009.05"
"NIFTY SMALLCAP 250","27 Sep 2022","9053.70","9135.70","8982.65","9048.95"
"NIFTY SMALLCAP 250","26 Sep 2022","9231.55","9234.90","8927.55","9001.00"
"NIFTY SMALLCAP 250","23 Sep 2022","9523.25","9545.85","9296.05","9312.45"
"NIFTY SMALLCAP 250","22 Sep 2022","9429.75","9523.90","9415.55","9500.40"
"NIFTY SMALLCAP 250","21 Sep 2022","9535.90","9572.45","9412.50","9446.70"
"NIFTY SMALLCAP 250","20 Sep 2022","9479.10","9550.45","9478.20","9506.25"
"NIFTY SMALLCAP 250","19 Sep 2022","9491.70","9530.35","9357.75","9398.30"
"NIFTY SMALLCAP 250","16 Sep 2022","9692.70","9705.00","9411.65","9467.85"
"NIFTY SMALLCAP 250","15 Sep 2022","9753.60","9787.20","9667.20","9690.05"
"NIFTY SMALLCAP 250","14 Sep 2022","9553.25","9710.90","9541.50","9692.10"
"NIFTY SMALLCAP 250","13 Sep 2022","9724.80","9742.15","9673.20","9683.00"
"NIFTY SMALLCAP 250","12 Sep 2022","9644.15","9686.30","9638.20","9672.35"
"NIFTY SMALLCAP 250","09 Sep 2022","9658.85","9667.65","9557.10","9581.65"
"NIFTY SMALLCAP 250","08 Sep 2022","9618.70","9632.90","9568.35","9600.70"
"NIFTY SMALLCAP 250","07 Sep 2022","9428.85","9541.05","9416.45","9533.55"
"NIFTY SMALLCAP 250","06 Sep 2022","9490.10","9513.40","9401.50","9457.25"
"NIFTY SMALLCAP 250","05 Sep 2022","9374.30","9434.65","9369.40","9427.45"
"NIFTY SMALLCAP 250","02 Sep 2022","9369.30","9384.85","9312.80","9333.95"
"NIFTY SMALLCAP 250","01 Sep 2022","9254.00","9341.55","9244.20","9313.85"
"NIFTY SMALLCAP 250","30 Aug 2022","9247.20","9300.85","9246.85","9285.80"
"NIFTY SMALLCAP 250","29 Aug 2022","8980.25","9187.30","8979.45","9172.20"
"NIFTY SMALLCAP 250","26 Aug 2022","9217.75","9253.00","9200.85","9227.05"
"NIFTY SMALLCAP 250","25 Aug 2022","9183.35","9227.50","9143.20","9160.60"
"NIFTY SMALLCAP 250","24 Aug 2022","9072.10","9136.70","9071.65","9129.90"
"NIFTY SMALLCAP 250","23 Aug 2022","8912.85","9068.90","8901.25","9050.85"
"NIFTY SMALLCAP 250","22 Aug 2022","9027.85","9027.85","8946.50","8960.30"
"NIFTY SMALLCAP 250","19 Aug 2022","9164.15","9184.55","9024.50","9041.75"
"NIFTY SMALLCAP 250","18 Aug 2022","9131.10","9167.75","9116.00","9139.55"
"NIFTY SMALLCAP 250","17 Aug 2022","9112.80","9138.40","9104.05","9115.05"
"NIFTY SMALLCAP 250","16 Aug 2022","9039.30","9080.95","9028.55","9071.45"
"NIFTY SMALLCAP 250","12 Aug 2022","8985.45","9019.80","8973.30","8992.65"
"NIFTY SMALLCAP 250","11 Aug 2022","8988.10","8994.80","8957.15","8973.05"
"NIFTY SMALLCAP 250","10 Aug 2022","8967.35","8978.45","8901.50","8919.05"
"NIFTY SMALLCAP 250","08 Aug 2022","8940.45","8951.10","8892.35","8944.25"
"NIFTY SMALLCAP 250","05 Aug 2022","8962.20","8990.60","8912.00","8922.20"
"NIFTY SMALLCAP 250","04 Aug 2022","9001.40","9035.55","8816.05","8930.45"
"NIFTY SMALLCAP 250","03 Aug 2022","9011.80","9029.65","8895.90","8954.55"
"NIFTY SMALLCAP 250","02 Aug 2022","8933.60","9006.65","8910.55","8990.15"
"NIFTY SMALLCAP 250","01 Aug 2022","8846.05","8944.70","8806.70","8935.05"
"NIFTY SMALLCAP 250","29 Jul 2022","8726.25","8802.95","8721.05","8790.55"
"NIFTY SMALLCAP 250","28 Jul 2022","8656.55","8676.90","8633.15","8667.50"
"NIFTY SMALLCAP 250","27 Jul 2022","8590.60","8612.05","8558.50","8602.25"
"NIFTY SMALLCAP 250","26 Jul 2022","8696.65","8701.50","8588.35","8602.75"
"NIFTY SMALLCAP 250","25 Jul 2022","8732.90","8742.80","8656.45","8691.85"
"NIFTY SMALLCAP 250","22 Jul 2022","8744.30","8753.20","8698.35","8727.65"
"NIFTY SMALLCAP 250","21 Jul 2022","8662.45","8710.45","8636.45","8703.65"
"NIFTY SMALLCAP 250","20 Jul 2022","8661.90","8692.70","8619.55","8635.05"
"NIFTY SMALLCAP 250","19 Jul 2022","8506.90","8590.80","8495.30","8583.30"
"NIFTY SMALLCAP 250","18 Jul 2022","8453.30","8520.90","8451.55","8511.70"
"NIFTY SMALLCAP 250","15 Jul 2022","8369.55","8395.15","8317.75","8389.35"
"NIFTY SMALLCAP 250","14 Jul 2022","8425.20","8434.50","8313.25","8349.60"
"NIFTY SMALLCAP 250","13 Jul 2022","8438.65","8461.65","8396.35","8410.35"
"NIFTY SMALLCAP 250","12 Jul 2022","8410.00","8452.85","8381.00","8392.40"
"NIFTY SMALLCAP 250","11 Jul 2022","8328.15","8427.70","8315.60","8423.30"
"NIFTY SMALLCAP 250","08 Jul 2022","8372.20","8382.25","8321.90","8336.80"
"NIFTY SMALLCAP 250","07 Jul 2022","8277.65","8325.00","8258.50","8317.45"
"NIFTY SMALLCAP 250","06 Jul 2022","8184.75","8216.05","8102.50","8210.10"
"NIFTY SMALLCAP 250","05 Jul 2022","8184.50","8255.05","8155.05","8166.80"
"NIFTY SMALLCAP 250","04 Jul 2022","8127.55","8166.10","8113.65","8145.70"
"NIFTY SMALLCAP 250","01 Jul 2022","8080.40","8115.15","7998.15","8105.50"
"NIFTY SMALLCAP 250","30 Jun 2022","8131.45","8182.50","8073.20","8088.60"
"NIFTY SMALLCAP 250","29 Jun 2022","8085.30","8157.90","8072.65","8114.60"
"NIFTY SMALLCAP 250","28 Jun 2022","8148.50","8165.80","8090.20","8159.20"
"NIFTY SMALLCAP 250","27 Jun 2022","8142.00","8181.15","8119.35","8165.60"
"NIFTY SMALLCAP 250","24 Jun 2022","7964.50","8047.85","7963.60","8036.80"
"NIFTY SMALLCAP 250","23 Jun 2022","7833.95","7915.30","7811.40","7899.90"
"NIFTY SMALLCAP 250","22 Jun 2022","7876.15","7881.10","7794.95","7810.90"
"NIFTY SMALLCAP 250","21 Jun 2022","7720.65","7911.00","7720.30","7893.40"
"NIFTY SMALLCAP 250","20 Jun 2022","7910.20","7928.70","7598.05","7657.25"
"NIFTY SMALLCAP 250","17 Jun 2022","7928.75","7977.85","7813.20","7902.75"
"NIFTY SMALLCAP 250","16 Jun 2022","8309.50","8332.70","7953.65","7965.90"
"NIFTY SMALLCAP 250","15 Jun 2022","8218.30","8253.40","8199.90","8217.80"
"NIFTY SMALLCAP 250","14 Jun 2022","8152.45","8283.85","8151.90","8172.05"
"NIFTY SMALLCAP 250","13 Jun 2022","8351.05","8353.80","8195.00","8205.65"
"NIFTY SMALLCAP 250","10 Jun 2022","8508.55","8544.95","8493.95","8506.90"
"NIFTY SMALLCAP 250","09 Jun 2022","8541.70","8589.85","8521.05","8582.15"
"NIFTY SMALLCAP 250","08 Jun 2022","8626.10","8659.35","8538.20","8577.60"
"NIFTY SMALLCAP 250","07 Jun 2022","8609.10","8636.75","8553.10","8592.50"
"NIFTY SMALLCAP 250","06 Jun 2022","8688.05","8695.90","8553.35","8640.90"
"NIFTY SMALLCAP 250","03 Jun 2022","8855.20","8874.30","8683.05","8696.35"
"NIFTY SMALLCAP 250","02 Jun 2022","8729.40","8781.55","8713.80","8772.90"
"NIFTY SMALLCAP 250","01 Jun 2022","8714.30","8778.60","8671.90","8730.65"
"NIFTY SMALLCAP 250","31 May 2022","8596.70","8705.60","8565.25","8673.10"
"NIFTY SMALLCAP 250","30 May 2022","8503.35","8592.75","8483.70","8585.50"
"NIFTY SMALLCAP 250","27 May 2022","8399.90","8439.65","8344.35","8397.35"
"NIFTY SMALLCAP 250","26 May 2022","8267.85","8323.55","8065.95","8311.80"
"NIFTY SMALLCAP 250","25 May 2022","8523.20","8541.50","8227.10","8233.70"
"NIFTY SMALLCAP 250","24 May 2022","8627.95","8646.25","8473.05","8488.60"
"NIFTY SMALLCAP 250","23 May 2022","8697.65","8711.60","8581.60","8594.10"
"NIFTY SMALLCAP 250","20 May 2022","8598.80","8666.15","8574.60","8654.55"
"NIFTY SMALLCAP 250","19 May 2022","8457.95","8547.60","8416.30","8473.60"
"NIFTY SMALLCAP 250","18 May 2022","8693.30","8758.70","8623.40","8667.20"
"NIFTY SMALLCAP 250","17 May 2022","8470.70","8649.35","8435.40","8638.10"
"NIFTY SMALLCAP 250","16 May 2022","8356.75","8416.10","8250.30","8396.80"
"NIFTY SMALLCAP 250","13 May 2022","8329.10","8428.20","8266.90","8286.20"
"NIFTY SMALLCAP 250","12 May 2022","8255.90","8262.50","8128.30","8202.15"
"NIFTY SMALLCAP 250","11 May 2022","8603.95","8639.85","8188.30","8340.65"
"NIFTY SMALLCAP 250","10 May 2022","8732.90","8858.30","8546.90","8569.10"
"NIFTY SMALLCAP 250","09 May 2022","8858.30","8868.75","8700.30","8748.95"
"NIFTY SMALLCAP 250","06 May 2022","8957.90","8966.60","8852.40","8919.45"
"NIFTY SMALLCAP 250","05 May 2022","9287.70","9302.35","9114.55","9126.70"
"NIFTY SMALLCAP 250","04 May 2022","9442.40","9477.85","9150.55","9183.40"
"NIFTY SMALLCAP 250","02 May 2022","9413.15","9436.50","9337.05","9397.75"
"NIFTY SMALLCAP 250","29 Apr 2022","9645.65","9667.40","9471.55","9493.30"
"NIFTY SMALLCAP 250","28 Apr 2022","9643.05","9658.95","9514.95","9593.75"
"NIFTY SMALLCAP 250","27 Apr 2022","9559.85","9600.10","9477.35","9568.55"
"NIFTY SMALLCAP 250","26 Apr 2022","9623.75","9660.85","9583.95","9623.75"
"NIFTY SMALLCAP 250","25 Apr 2022","9649.45","9653.10","9511.40","9526.05"
"NIFTY SMALLCAP 250","22 Apr 2022","9710.10","9810.40","9691.85","9720.30"
"NIFTY SMALLCAP 250","21 Apr 2022","9709.95","9765.35","9709.40","9744.85"
"NIFTY SMALLCAP 250","20 Apr 2022","9678.50","9755.85","9608.20","9622.75"
"NIFTY SMALLCAP 250","19 Apr 2022","9834.90","9883.85","9533.65","9620.70"
"NIFTY SMALLCAP 250","18 Apr 2022","9812.60","9812.60","9712.40","9770.80"
"NIFTY SMALLCAP 250","13 Apr 2022","9901.75","9934.75","9849.25","9857.95"
"NIFTY SMALLCAP 250","12 Apr 2022","9972.50","9972.50","9747.15","9825.20"
"NIFTY SMALLCAP 250","11 Apr 2022","9972.75","10017.25","9952.00","9966.55"
"NIFTY SMALLCAP 250","08 Apr 2022","9927.25","9966.95","9891.30","9934.75"
"NIFTY SMALLCAP 250","07 Apr 2022","9937.85","9995.85","9831.05","9859.20"
"NIFTY SMALLCAP 250","06 Apr 2022","9849.20","9945.45","9825.00","9902.00"
"NIFTY SMALLCAP 250","05 Apr 2022","9836.20","9905.15","9806.25","9860.05"
"NIFTY SMALLCAP 250","04 Apr 2022","9689.00","9772.40","9686.95","9766.85"
"NIFTY SMALLCAP 250","01 Apr 2022","9468.75","9626.40","9462.00","9620.15"
"NIFTY SMALLCAP 250","31 Mar 2022","9439.20","9485.95","9424.85","9441.45"
"NIFTY SMALLCAP 250","30 Mar 2022","9391.40","9439.75","9377.60","9396.50"
"NIFTY SMALLCAP 250","29 Mar 2022","9304.10","9335.05","9277.70","9312.05"
"NIFTY SMALLCAP 250","28 Mar 2022","9362.20","9371.60","9212.95","9256.45"
"NIFTY SMALLCAP 250","25 Mar 2022","9408.75","9425.40","9299.60","9311.10"
"NIFTY SMALLCAP 250","24 Mar 2022","9306.55","9365.55","9298.15","9347.70"
"NIFTY SMALLCAP 250","23 Mar 2022","9401.75","9426.20","9300.65","9316.45"
"NIFTY SMALLCAP 250","22 Mar 2022","9339.75","9344.00","9265.35","9330.35"
"NIFTY SMALLCAP 250","21 Mar 2022","9340.80","9372.55","9283.40","9301.50"
"NIFTY SMALLCAP 250","17 Mar 2022","9282.80","9300.40","9262.00","9276.95"
"NIFTY SMALLCAP 250","16 Mar 2022","9182.30","9206.85","9139.25","9168.55"
"NIFTY SMALLCAP 250","15 Mar 2022","9197.45","9220.30","9034.95","9067.95"
"NIFTY SMALLCAP 250","14 Mar 2022","9142.25","9165.65","9062.00","9143.55"
"NIFTY SMALLCAP 250","11 Mar 2022","9033.95","9142.65","9005.00","9105.90"
"NIFTY SMALLCAP 250","10 Mar 2022","9104.75","9121.05","8982.00","9025.40"
"NIFTY SMALLCAP 250","09 Mar 2022","8812.40","8921.05","8786.30","8899.85"
"NIFTY SMALLCAP 250","08 Mar 2022","8621.45","8745.15","8566.10","8717.05"
"NIFTY SMALLCAP 250","07 Mar 2022","8634.15","8651.35","8526.30","8599.35"
"NIFTY SMALLCAP 250","04 Mar 2022","8892.25","8921.50","8785.25","8804.10"
"NIFTY SMALLCAP 250","03 Mar 2022","9026.05","9078.05","8929.30","8945.30"
"NIFTY SMALLCAP 250","02 Mar 2022","8823.95","8964.75","8811.55","8911.10"
"NIFTY SMALLCAP 250","28 Feb 2022","8744.00","8898.75","8620.25","8887.65"
"NIFTY SMALLCAP 250","25 Feb 2022","8645.25","8839.10","8643.85","8815.20"
"NIFTY SMALLCAP 250","24 Feb 2022","8659.45","8747.85","8428.30","8454.95"
"NIFTY SMALLCAP 250","23 Feb 2022","8961.55","9066.40","8960.10","8982.90"
"NIFTY SMALLCAP 250","22 Feb 2022","8784.40","8917.00","8773.40","8877.55"
"NIFTY SMALLCAP 250","21 Feb 2022","9234.30","9244.40","9037.90","9052.95"
"NIFTY SMALLCAP 250","18 Feb 2022","9336.55","9390.50","9279.20","9293.55"
"NIFTY SMALLCAP 250","17 Feb 2022","9490.00","9507.50","9358.40","9370.30"
"NIFTY SMALLCAP 250","16 Feb 2022","9470.40","9523.35","9417.35","9440.80"
"NIFTY SMALLCAP 250","15 Feb 2022","9211.35","9384.80","9057.55","9370.05"
"NIFTY SMALLCAP 250","14 Feb 2022","9361.40","9412.65","9166.30","9187.60"
"NIFTY SMALLCAP 250","11 Feb 2022","9702.35","9739.20","9582.70","9596.15"
"NIFTY SMALLCAP 250","10 Feb 2022","9799.00","9804.10","9707.10","9781.05"
"NIFTY SMALLCAP 250","09 Feb 2022","9796.40","9823.80","9718.15","9766.05"
"NIFTY SMALLCAP 250","08 Feb 2022","9920.75","9957.25","9648.55","9732.90"
"NIFTY SMALLCAP 250","07 Feb 2022","10026.15","10044.65","9862.60","9882.30"
"NIFTY SMALLCAP 250","04 Feb 2022","10073.05","10094.80","9978.05","9991.30"
"NIFTY SMALLCAP 250","03 Feb 2022","10096.05","10104.70","10033.85","10050.15"
"NIFTY SMALLCAP 250","02 Feb 2022","9967.25","10062.60","9966.05","10051.30"
"NIFTY SMALLCAP 250","01 Feb 2022","9900.70","9922.35","9753.45","9886.60"
"NIFTY SMALLCAP 250","31 Jan 2022","9838.65","9879.00","9769.80","9813.10"
"NIFTY SMALLCAP 250","28 Jan 2022","9752.90","9878.25","9708.30","9719.70"
"NIFTY SMALLCAP 250","27 Jan 2022","9632.15","9735.90","9577.75","9668.55"
"NIFTY SMALLCAP 250","25 Jan 2022","9505.65","9756.80","9332.80","9713.45"
"NIFTY SMALLCAP 250","24 Jan 2022","10058.00","10071.00","9522.10","9611.50"
"NIFTY SMALLCAP 250","21 Jan 2022","10217.75","10266.60","10007.35","10076.85"
"NIFTY SMALLCAP 250","20 Jan 2022","10283.40","10358.10","10241.45","10269.25"
"NIFTY SMALLCAP 250","19 Jan 2022","10240.05","10290.75","10142.85","10281.15"
"NIFTY SMALLCAP 250","18 Jan 2022","10513.75","10524.55","10234.45","10257.80"
"NIFTY SMALLCAP 250","17 Jan 2022","10465.05","10499.65","10428.20","10471.85"
"NIFTY SMALLCAP 250","14 Jan 2022","10348.85","10436.30","10311.05","10424.00"
"NIFTY SMALLCAP 250","13 Jan 2022","10327.05","10364.60","10265.50","10352.60"
"NIFTY SMALLCAP 250","12 Jan 2022","10298.80","10325.60","10250.50","10292.35"
"NIFTY SMALLCAP 250","11 Jan 2022","10255.50","10295.95","10199.65","10228.80"
"NIFTY SMALLCAP 250","10 Jan 2022","10155.70","10228.90","10148.75","10218.30"
"NIFTY SMALLCAP 250","07 Jan 2022","10079.40","10137.90","10013.40","10076.60"
"NIFTY SMALLCAP 250","06 Jan 2022","9964.50","10045.60","9919.25","10034.95"
"NIFTY SMALLCAP 250","05 Jan 2022","10020.10","10048.25","9960.75","10024.30"
"NIFTY SMALLCAP 250","04 Jan 2022","10033.15","10048.85","9947.65","10018.45"
"NIFTY SMALLCAP 250","03 Jan 2022","9894.50","9982.30","9893.55","9966.35"
